check_name,result,count,rate
HIGH_TURNOVER,PASS,49,0.119512
MATCHES_COMPETITION,PASS,49,0.119512
SELF_CORRELATION,PENDING,49,0.119512
CONCENTRATED_WEIGHT,PASS,48,0.117073
LOW_SUB_UNIVERSE_SHARPE,PASS,48,0.117073
LOW_TURNOVER,PASS,48,0.117073
LOW_FITNESS,PASS,47,0.114634
LOW_SHARPE,PASS,47,0.114634
UNITS,WARNING,18,0.043902
LOW_FITNESS,FAIL,2,0.004878
LOW_SHARPE,FAIL,2,0.004878
CONCENTRATED_WEIGHT,FAIL,1,0.002439
LOW_SUB_UNIVERSE_SHARPE,FAIL,1,0.002439
LOW_TURNOVER,FAIL,1,0.002439
