候选ID,策略家族,来源,分数,表达式,alpha_id,status,sharpe,fitness,turnover,returns,margin,drawdown,error,处理时间
improved_round2_3,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(ebitda/cap, 252)) + 0.5*rank(ts_zscore(revenue/cap, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:30.557919+00:00
improved_round2_4,基本面多因子组合,,,"group_neutralize(ts_zscore(revenue/total_assets, 252) * rank(ts_decay_linear(1/turnover_volatility, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:33.359078+00:00
improved_round2_5,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(ebitda/cap, 252)) + rank(ts_zscore(fcf/cap, 252)) - rank(ts_zscore(debt/total_assets, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:36.163048+00:00
improved_round2_6,基本面多因子组合,,,"group_neutralize(ts_zscore(ts_mean(fcf/cap, 252) - ts_mean(fcf/cap, 504), 252), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:38.972267+00:00
improved_round2_7,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(book_value/cap, 252)) * rank(ts_decay_linear(volume, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:41.785660+00:00
improved_round2_8,基本面多因子组合,,,"group_neutralize(ts_zscore(ebitda/cap, 252) / ts_stddev(ebitda/cap, 252), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:44.631929+00:00
improved_round2_9,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(earnings/total_assets, 252)) * rank(ts_decay_linear(1/adv20, 252)), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:47.438646+00:00
improved_round2_10,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(operating_cash_flow/cap, 252)) - 0.3*rank(ts_zscore(debt/total_assets, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:50.585807+00:00
improved_round2_11,基本面多因子组合,,,"group_neutralize(ts_zscore(sales/cap, 252) * rank(ts_decay_linear(volume/adv20, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:53.383029+00:00
improved_round2_12,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(book_value/cap, 252)) + rank(ts_zscore(ebitda/cap, 252)) + rank(ts_zscore(fcf/cap, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:56.184085+00:00
improved_round2_13,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(revenue/total_assets, 252)) + rank(ts_zscore(ebitda/total_assets, 252)), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:10:59.353258+00:00
improved_round2_14,基本面多因子组合,,,"group_neutralize(ts_zscore(ts_decay_linear(fcf/cap, 252), 252), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:03.161772+00:00
improved_round2_15,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(ebitda/cap, 252)) + rank(ts_zscore(fcf/cap, 252)) + rank(ts_zscore(book_value/cap, 252)) - rank(ts_zscore(debt/cap, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:05.967139+00:00
improved_round2_1,基本面多因子组合,,,"group_neutralize(ts_zscore(book_value/cap, 252) * rank(ts_decay_linear(volume/adv20, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:15.508008+00:00
improved_round2_2,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(fcf/cap, 252)), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:20.397483+00:00
improved_round2_3,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(ebitda/cap, 252)) + 0.5*rank(ts_zscore(revenue/cap, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:26.969173+00:00
improved_round2_4,基本面多因子组合,,,"group_neutralize(ts_zscore(revenue/total_assets, 252) * rank(ts_decay_linear(1/turnover_volatility, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:29.786032+00:00
improved_round2_5,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(ebitda/cap, 252)) + rank(ts_zscore(fcf/cap, 252)) - rank(ts_zscore(debt/total_assets, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:32.583830+00:00
improved_round2_6,基本面多因子组合,,,"group_neutralize(ts_zscore(ts_mean(fcf/cap, 252) - ts_mean(fcf/cap, 504), 252), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:37.646844+00:00
improved_round2_7,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(book_value/cap, 252)) * rank(ts_decay_linear(volume, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:45.136643+00:00
improved_round2_8,基本面多因子组合,,,"group_neutralize(ts_zscore(ebitda/cap, 252) / ts_stddev(ebitda/cap, 252), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:48.782997+00:00
improved_round2_9,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(earnings/total_assets, 252)) * rank(ts_decay_linear(1/adv20, 252)), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:51.588572+00:00
improved_round2_10,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(operating_cash_flow/cap, 252)) - 0.3*rank(ts_zscore(debt/total_assets, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:54.380279+00:00
improved_round2_11,基本面多因子组合,,,"group_neutralize(ts_zscore(sales/cap, 252) * rank(ts_decay_linear(volume/adv20, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:57.174724+00:00
