alpha_id,sync_id,eligibility_status,reasons,source
0mA2b0jk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA2bqEr,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA55v91,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA5RRYr,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA5XAnk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA5rwW8,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA688Y1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA6e1gk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mA6emk6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJ8LzK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJQKnK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJRpdr,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJX7Kv,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJXmG1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJgmlq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAJn8x2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mALV5Zk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mALVqbq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mALYWVr,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mALbw2G,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mALdbxk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mALl2N8,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAPeKN1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAPvEvr,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAPvQaq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAV37gG,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAV9OdK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAVE0dK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAVKkl6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAVLemk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAVPrQK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAVR10k,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
