2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T15:07:27Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:08:13Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:08:58Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:09:44Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:10:30Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:11:15Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:12:01Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:12:47Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:13:33Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:14:18Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:15:04Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:15:50Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:16:35Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:17:21Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:18:07Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:18:53Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:19:38Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:20:24Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:21:10Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:21:55Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:22:41Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:23:27Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:24:13Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:24:58Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:25:44Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:26:30Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:27:15Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:28:01Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:28:47Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:29:33Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:30:18Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:31:04Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:31:50Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
